"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C2, C3, C4, C5, C6, C7","6","0.1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","D1","1","LED","LED_THT:LED_D5.0mm",""
"4","FB1, FB2, FB3, FB4, FB5, FB6","6","FerriteBead","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"5","J1, J2, J3, J4","4","Screw_Terminal_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm",""
"6","R1","1","220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"7","R2","1","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"8","SW1","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"9","U1","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
"10","U2, U3, U4","3","MAX31855KASA+","SOIC127P600X175-8N",""
